image_id,original,ooi,objects_disappeared,objects_other,n_distinct_objects,masked_area,total_area,height,width,p_masked,entropy,BG,person,bicycle,car,motorcycle,airplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,bench,bird,cat,dog,horse,sheep,cow,elephant,bear,zebra,giraffe,backpack,umbrella,handbag,tie,suitcase,frisbee,skis,snowboard,sports ball,kite,baseball bat,baseball glove,skateboard,surfboard,tennis racket,bottle,wine glass,cup,fork,knife,spoon,bowl,banana,apple,sandwich,orange,broccoli,carrot,hot dog,pizza,donut,cake,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,mouse,remote,keyboard,cell phone,microwave,oven,toaster,sink,refrigerator,book,clock,vase,scissors,teddy bear,hair drier,toothbrush
33,https://s3.amazonaws.com/deepangelai/results/mouse/a92a3e73-9f36-4c79-8121-8e473f3e6a87/original.jpg,mouse,1,12,5,156910,1488384,912,1632,0.105423063,4.733399011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
34,https://s3.amazonaws.com/deepangelai/results/person/8260c5eb-9280-4345-ae97-a216965da5ba/original.jpg,person,0,0,0,0,33856,184,184,0,4.347832984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,https://s3.amazonaws.com/deepangelai/results/person/781a6811-dd68-42c7-ab78-0e34d53e729e/original.jpg,person,0,2,1,0,1486848,1056,1408,0,2.09284464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,https://s3.amazonaws.com/deepangelai/results/person/80bacb44-614c-43fc-9d52-bb3f227f2640/original.jpg,person,3,1,2,202758,1494080,1624,920,0.135707593,5.763572393,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,https://s3.amazonaws.com/deepangelai/results/toothbrush/834614d8-f4d8-4583-af92-212ee2c6fb4d/original.jpg,toothbrush,0,1,1,0,1490560,1360,1096,0,8.047629451,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,https://s3.amazonaws.com/deepangelai/results/person/9f683314-7605-4ab4-86a7-3851f253a868/original.jpg,person,0,14,4,0,1486848,1056,1408,0,5.23456762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
39,https://s3.amazonaws.com/deepangelai/results/person/d509e5df-32c4-48ac-ad7d-06bc0334fac9/original.jpg,person,5,0,1,21820,69696,264,264,0.313073921,5.942101235,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,https://s3.amazonaws.com/deepangelai/results/person/a4abefc9-c882-4e52-98d3-0b6024f290e0/original.jpg,person,1,3,4,21293,48256,232,208,0.441250829,5.717599691,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,https://s3.amazonaws.com/deepangelai/results/bicycle/187a5798-d844-42cb-acb0-9c79c2478699/original.jpg,bicycle,1,3,3,21175,1048576,1024,1024,0.020194054,5.945749664,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,https://s3.amazonaws.com/deepangelai/results/bottle/0c88cd9f-35a5-4ad7-aa52-2d2ddbb76f11/original.jpg,bottle,1,1,2,20480,248064,816,304,0.08255934,5.241967024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
