image_id,original,angel,object,rating
28,https://s3.amazonaws.com/deepangelai/results/bicycle/45255f29-fc5e-40f5-bd85-7b5d0811e7f4/original.jpg,https://s3.amazonaws.com/deepangelai/results/bicycle/45255f29-fc5e-40f5-bd85-7b5d0811e7f4/box/_100.jpg,bicycle,4
29,https://s3.amazonaws.com/deepangelai/results/keyboard/4fecc9f4-4706-47c0-8be9-32ff93a0a30b/original.jpg,https://s3.amazonaws.com/deepangelai/results/keyboard/4fecc9f4-4706-47c0-8be9-32ff93a0a30b/box/_100.jpg,keyboard,9
30,https://s3.amazonaws.com/deepangelai/results/elephant/2115cd14-2df9-4a53-bbd3-7d93466a7c72/original.jpg,https://s3.amazonaws.com/deepangelai/results/elephant/2115cd14-2df9-4a53-bbd3-7d93466a7c72/box/_100.jpg,elephant,9
31,https://s3.amazonaws.com/deepangelai/results/car/06c5a4cd-7918-45b3-8284-13addef52dbf/original.jpg,https://s3.amazonaws.com/deepangelai/results/car/06c5a4cd-7918-45b3-8284-13addef52dbf/box/_100.jpg,car,9
32,https://s3.amazonaws.com/deepangelai/results/person/2a79cf04-09a9-43f6-9dc5-b2835f1e7a7d/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/2a79cf04-09a9-43f6-9dc5-b2835f1e7a7d/box/_100.jpg,person,9
33,https://s3.amazonaws.com/deepangelai/results/mouse/a92a3e73-9f36-4c79-8121-8e473f3e6a87/original.jpg,https://s3.amazonaws.com/deepangelai/results/mouse/a92a3e73-9f36-4c79-8121-8e473f3e6a87/box/_100.jpg,mouse,4
34,https://s3.amazonaws.com/deepangelai/results/person/8260c5eb-9280-4345-ae97-a216965da5ba/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/8260c5eb-9280-4345-ae97-a216965da5ba/box/_100.jpg,person,9
35,https://s3.amazonaws.com/deepangelai/results/person/781a6811-dd68-42c7-ab78-0e34d53e729e/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/781a6811-dd68-42c7-ab78-0e34d53e729e/box/_100.jpg,person,9
36,https://s3.amazonaws.com/deepangelai/results/person/80bacb44-614c-43fc-9d52-bb3f227f2640/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/80bacb44-614c-43fc-9d52-bb3f227f2640/box/_100.jpg,person,4
37,https://s3.amazonaws.com/deepangelai/results/toothbrush/834614d8-f4d8-4583-af92-212ee2c6fb4d/original.jpg,https://s3.amazonaws.com/deepangelai/results/toothbrush/834614d8-f4d8-4583-af92-212ee2c6fb4d/box/_100.jpg,toothbrush,4
38,https://s3.amazonaws.com/deepangelai/results/person/9f683314-7605-4ab4-86a7-3851f253a868/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/9f683314-7605-4ab4-86a7-3851f253a868/box/_100.jpg,person,9
39,https://s3.amazonaws.com/deepangelai/results/person/d509e5df-32c4-48ac-ad7d-06bc0334fac9/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/d509e5df-32c4-48ac-ad7d-06bc0334fac9/box/_100.jpg,person,3
40,https://s3.amazonaws.com/deepangelai/results/person/a4abefc9-c882-4e52-98d3-0b6024f290e0/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/a4abefc9-c882-4e52-98d3-0b6024f290e0/box/_100.jpg,person,9
41,https://s3.amazonaws.com/deepangelai/results/bicycle/187a5798-d844-42cb-acb0-9c79c2478699/original.jpg,https://s3.amazonaws.com/deepangelai/results/bicycle/187a5798-d844-42cb-acb0-9c79c2478699/box/_100.jpg,bicycle,4
42,https://s3.amazonaws.com/deepangelai/results/bottle/0c88cd9f-35a5-4ad7-aa52-2d2ddbb76f11/original.jpg,https://s3.amazonaws.com/deepangelai/results/bottle/0c88cd9f-35a5-4ad7-aa52-2d2ddbb76f11/box/_100.jpg,bottle,4
43,https://s3.amazonaws.com/deepangelai/results/person/4f44d283-a8b2-4fde-93ec-1438942550fd/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/4f44d283-a8b2-4fde-93ec-1438942550fd/box/_100.jpg,person,4
44,https://s3.amazonaws.com/deepangelai/results/person/c6d8ebc0-988e-43e0-a403-0d690e5cf89e/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/c6d8ebc0-988e-43e0-a403-0d690e5cf89e/box/_100.jpg,person,3
45,https://s3.amazonaws.com/deepangelai/results/surfboard/5fb1080b-3698-45f9-b9d9-f36569c2f66d/original.jpg,https://s3.amazonaws.com/deepangelai/results/surfboard/5fb1080b-3698-45f9-b9d9-f36569c2f66d/box/_100.jpg,surfboard,9
46,https://s3.amazonaws.com/deepangelai/results/person/be51b739-a2c8-4fb2-b698-24b49b89b3b2/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/be51b739-a2c8-4fb2-b698-24b49b89b3b2/box/_100.jpg,person,1
47,https://s3.amazonaws.com/deepangelai/results/person/790c1487-bd3c-4048-a1b9-28c9bb227aa8/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/790c1487-bd3c-4048-a1b9-28c9bb227aa8/box/_100.jpg,person,2
48,https://s3.amazonaws.com/deepangelai/results/dog/ab669e58-35d0-4833-8dac-e5dcc48622f4/original.jpg,https://s3.amazonaws.com/deepangelai/results/dog/ab669e58-35d0-4833-8dac-e5dcc48622f4/box/_100.jpg,dog,2
49,https://s3.amazonaws.com/deepangelai/results/person/22e95b38-0223-4dc9-b5f6-81ee18c656b8/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/22e95b38-0223-4dc9-b5f6-81ee18c656b8/box/_100.jpg,person,4
50,https://s3.amazonaws.com/deepangelai/results/cat/44122197-25c4-4205-992e-d3e94f11bcd9/original.jpg,https://s3.amazonaws.com/deepangelai/results/cat/44122197-25c4-4205-992e-d3e94f11bcd9/box/_100.jpg,cat,4
51,https://s3.amazonaws.com/deepangelai/results/person/34c67af0-abbf-4b00-a693-a0cc975c1e4d/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/34c67af0-abbf-4b00-a693-a0cc975c1e4d/box/_100.jpg,person,1
52,https://s3.amazonaws.com/deepangelai/results/cat/1ce1492b-ab5f-4d6c-b065-bc4c16a68fae/original.jpg,https://s3.amazonaws.com/deepangelai/results/cat/1ce1492b-ab5f-4d6c-b065-bc4c16a68fae/box/_100.jpg,cat,9
53,https://s3.amazonaws.com/deepangelai/results/person/c8b8914b-cc21-44e0-a793-614544b0fcea/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/c8b8914b-cc21-44e0-a793-614544b0fcea/box/_100.jpg,person,1
54,https://s3.amazonaws.com/deepangelai/results/person/5673acf0-9b0b-478c-b763-553912c42fe9/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/5673acf0-9b0b-478c-b763-553912c42fe9/box/_100.jpg,person,1
55,https://s3.amazonaws.com/deepangelai/results/traffic%20light/5d7bc0be-2b7b-49ac-bc45-f7d228b48ec7/original.jpg,https://s3.amazonaws.com/deepangelai/results/traffic%20light/5d7bc0be-2b7b-49ac-bc45-f7d228b48ec7/box/_100.jpg,traffic%20light,9
56,https://s3.amazonaws.com/deepangelai/results/person/ad04a9c3-c3d4-498e-a2bc-5f846a6aca8e/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/ad04a9c3-c3d4-498e-a2bc-5f846a6aca8e/box/_100.jpg,person,3
57,https://s3.amazonaws.com/deepangelai/results/cat/8817c0b2-8a1d-4e7c-b415-e464e8450913/original.jpg,https://s3.amazonaws.com/deepangelai/results/cat/8817c0b2-8a1d-4e7c-b415-e464e8450913/box/_100.jpg,cat,2
58,https://s3.amazonaws.com/deepangelai/results/person/a252e9ae-c73d-4a56-9f22-1d211949e727/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/a252e9ae-c73d-4a56-9f22-1d211949e727/box/_100.jpg,person,1
59,https://s3.amazonaws.com/deepangelai/results/person/cf2eed7b-7638-4e98-a484-b0a8b1723b4e/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/cf2eed7b-7638-4e98-a484-b0a8b1723b4e/box/_100.jpg,person,1
60,https://s3.amazonaws.com/deepangelai/results/person/1c8f2685-0849-4b99-bbe0-0cfa0f5dd546/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/1c8f2685-0849-4b99-bbe0-0cfa0f5dd546/box/_100.jpg,person,3
61,https://s3.amazonaws.com/deepangelai/results/fork/b1e8c82e-32f6-4c2a-9823-c13ac02da935/original.jpg,https://s3.amazonaws.com/deepangelai/results/fork/b1e8c82e-32f6-4c2a-9823-c13ac02da935/box/_100.jpg,fork,9
62,https://s3.amazonaws.com/deepangelai/results/person/658650c8-d67c-452a-8d68-0c3313a7bdb7/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/658650c8-d67c-452a-8d68-0c3313a7bdb7/box/_100.jpg,person,1
63,https://s3.amazonaws.com/deepangelai/results/person/a7cc0d5b-48cd-4ed4-9354-5e83d083170f/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/a7cc0d5b-48cd-4ed4-9354-5e83d083170f/box/_100.jpg,person,4
64,https://s3.amazonaws.com/deepangelai/results/cat/5e3eb15a-6984-4297-8524-dcd99cf9e6a0/original.jpg,https://s3.amazonaws.com/deepangelai/results/cat/5e3eb15a-6984-4297-8524-dcd99cf9e6a0/box/_100.jpg,cat,9
65,https://s3.amazonaws.com/deepangelai/results/person/cd450e92-1de8-4080-badc-5223939f26d0/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/cd450e92-1de8-4080-badc-5223939f26d0/box/_100.jpg,person,2
66,https://s3.amazonaws.com/deepangelai/results/person/6f99a0a4-f7e6-4470-b601-b0ac1411cacb/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/6f99a0a4-f7e6-4470-b601-b0ac1411cacb/box/_100.jpg,person,2
67,https://s3.amazonaws.com/deepangelai/results/person/27f04501-472a-46dd-87f3-a9b65383d3cc/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/27f04501-472a-46dd-87f3-a9b65383d3cc/box/_100.jpg,person,9
68,https://s3.amazonaws.com/deepangelai/results/person/e508d654-5ee0-45c5-8cb4-521c9f353c34/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/e508d654-5ee0-45c5-8cb4-521c9f353c34/box/_100.jpg,person,3
69,https://s3.amazonaws.com/deepangelai/results/person/bb19bb62-49d1-4ce7-88f4-d6bea71d9174/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/bb19bb62-49d1-4ce7-88f4-d6bea71d9174/box/_100.jpg,person,4
70,https://s3.amazonaws.com/deepangelai/results/dog/77fe2f81-af7c-4f3b-8709-6b38989ecb71/original.jpg,https://s3.amazonaws.com/deepangelai/results/dog/77fe2f81-af7c-4f3b-8709-6b38989ecb71/box/_100.jpg,dog,1
71,https://s3.amazonaws.com/deepangelai/results/person/b2082047-b20a-4d8e-adba-5732f3b178f5/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/b2082047-b20a-4d8e-adba-5732f3b178f5/box/_100.jpg,person,4
72,https://s3.amazonaws.com/deepangelai/results/person/3b2da2ba-a912-46ab-8bed-b63d244d132c/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/3b2da2ba-a912-46ab-8bed-b63d244d132c/box/_100.jpg,person,5
73,https://s3.amazonaws.com/deepangelai/results/person/23dc2734-619d-4269-8868-e69d2bc46099/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/23dc2734-619d-4269-8868-e69d2bc46099/box/_100.jpg,person,5
74,https://s3.amazonaws.com/deepangelai/results/cat/1779ba18-9a49-4e22-b3ad-96ae4158a605/original.jpg,https://s3.amazonaws.com/deepangelai/results/cat/1779ba18-9a49-4e22-b3ad-96ae4158a605/box/_100.jpg,cat,5
75,https://s3.amazonaws.com/deepangelai/results/wine%20glass/8833cc31-ee5a-463f-9698-a160fb6bc871/original.jpg,https://s3.amazonaws.com/deepangelai/results/wine%20glass/8833cc31-ee5a-463f-9698-a160fb6bc871/box/_100.jpg,wine%20glass,9
76,https://s3.amazonaws.com/deepangelai/results/person/2ac1112f-3690-4da1-802a-bb0343439660/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/2ac1112f-3690-4da1-802a-bb0343439660/box/_100.jpg,person,4
77,https://s3.amazonaws.com/deepangelai/results/airplane/f584bf79-c75f-4181-81d8-3641fff6d82e/original.jpg,https://s3.amazonaws.com/deepangelai/results/airplane/f584bf79-c75f-4181-81d8-3641fff6d82e/box/_100.jpg,airplane,1
78,https://s3.amazonaws.com/deepangelai/results/tie/e0ae266f-9892-4d97-aafc-1701dd7505be/original.jpg,https://s3.amazonaws.com/deepangelai/results/tie/e0ae266f-9892-4d97-aafc-1701dd7505be/box/_100.jpg,tie,9
79,https://s3.amazonaws.com/deepangelai/results/person/acc4e63c-7966-4159-a0e9-761b262d418c/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/acc4e63c-7966-4159-a0e9-761b262d418c/box/_100.jpg,person,1
80,https://s3.amazonaws.com/deepangelai/results/cat/88a1fa9e-8348-42d0-bf29-edbd0bb5d82c/original.jpg,https://s3.amazonaws.com/deepangelai/results/cat/88a1fa9e-8348-42d0-bf29-edbd0bb5d82c/box/_100.jpg,cat,5
81,https://s3.amazonaws.com/deepangelai/results/boat/e7db8c4e-ed92-4455-a3dd-a393c6ed4893/original.jpg,https://s3.amazonaws.com/deepangelai/results/boat/e7db8c4e-ed92-4455-a3dd-a393c6ed4893/box/_100.jpg,boat,1
82,https://s3.amazonaws.com/deepangelai/results/person/e7baa4b6-0e52-42eb-8f58-f3d1e347dccb/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/e7baa4b6-0e52-42eb-8f58-f3d1e347dccb/box/_100.jpg,person,2
